FOOD_NM,INGREDIENTS,TYPE,Quantity
돌산갓김치,김치(백김치),김치,33211.84182294899
탕수만두,콩기름(대두유),반찬,16880.09770074522
가을영양밥,팥(붉은팥),밥,79709.69166727668
감자채피망볶음,참기름,반찬,17199.191292378287
코다리살강정,깨(참깨)/볶은것,반찬,16738.63296610205
모듬피클,피클(모둠피클),반찬,16397.790179667103
반미샌드위치,당근/친환경,후식,46991.54323332567
삼치살구이,배/친환경,반찬,33165.73187218026
고로케,콩기름(대두유),후식,27777.748753207412
라임,음료/자두맛,후식,27295.441232129302
페이스트리치킨버거,드레싱(화이트드레싱),반찬,16397.790179667103
꽁치김치조림,파(대파),반찬,18040.193240398854
양송이버섯크림스프,멸균유,국,37599.81763583613
밥,돌김자반,밥,79709.69166727668
웨지감자구이,설탕(백설탕),반찬,16724.96239664548
야채볶음밥,참기름,밥,78380.86515853273
만두튀김,콩기름(대두유),반찬,16880.09770074522
요그릭,발효유(호상요구르트)/블루베리맛,후식,43565.81118371478
애플파이,파이(사과파이)/생지,후식,27156.13642624471
단호박두부카레라이스,하이스가루,밥,79709.69166727668
소시지오므라이스,당근/친환경,밥,49965.3286960679
숭늉,멥쌀(백미),국,90774.41356632768
오이고추된장무침,된장(메주된장),반찬,9853.331117144968
순살감자탕,건고추,국,37599.81763583613
닭목살조림,무쌈,반찬,16397.790179667103
육원전,"동그랑땡/친환경, 불갈비맛",반찬,33165.73187218026
삼치엿장조림,콩기름(대두유),반찬,16880.09770074522
사과만주,만주(왕만주),후식,27295.441232129302
포크커틀렛,양송이버섯/친환경,반찬,33165.73187218026
상추겉절이,파(대파),반찬,18040.193240398854
아이스호떡,아이스크림,후식,25065.958718736496
한반도돈까스,돈가스소스,반찬,16397.790179667103
가지나물,참기름,반찬,17199.191292378287
청포묵무침,깨(참깨)/볶은것,반찬,16738.63296610205
소고기된장찌개,다시마/말린것(건조),국,48994.89612577364
닭감자조림,간장(양조간장),반찬,16945.85117008273
탕수육,콩기름(대두유),반찬,16880.09770074522
소고기우거지국,콩나물/친환경,국,35856.07771093642
감,감(연시),후식,27295.441232129302
오이파프리카스틱쌈,참기름,반찬,17199.191292378287
통곡물멸치볶음,"멸치(작은멸치, 가이리)",반찬,16397.790179667103
유기농우유,우유,후식,27295.441232129302
대구살무국,무(조선무)/친환경,국,78762.47681020857
스팸김치볶음밥,토마토케첩,밥,79709.69166727668
청경채겉절이,간장(양조간장),반찬,16945.85117008273
뜨끈한유부우동,한우(설도)/불고기용,밥,79709.69166727668
잠발라야닭다리오븐구이,"닭고기(다리, 북채)",반찬,16414.118598468518
칠리탕수육,돼지고기(등심),반찬,16397.790179667103
바질크림떡볶이,떡볶이떡/국산,반찬,17479.752419832406
밤고구마라떼,꿀,후식,27295.441232129302
달걀프라이,콩기름(대두유),반찬,16880.09770074522
통살오징어꼬치,튀김(오징어링)/국산,반찬,20805.144576436607
꽃게된장국,양파,국,24509.337847844214
무생채비빔밥,고추장,밥,80086.12077534673
쪽파김치,간장,김치,37249.628185832065
찹쌀주악,찹쌀약과,후식,27295.441232129302
견과류멸치볶음,콩기름(대두유),반찬,16880.09770074522
