FOOD_NM,INGREDIENT,TYPE
하이라이스,기능성찹쌀(칼슘강화),국
팽이버섯된장국,마늘/껍질제거(깐것),국
언양식파채불고기,파(대파)/채썬것(세절),반찬
사라다빵,"사과(부사,후지)",후식
루테인찹쌀밥,기능성찹쌀(루테인),밥
부대찌개,마늘/껍질제거(깐것),국
참치마요/조미김,양파/껍질제거(깐것),반찬
간장두부강정,"생강/친환경,껍질제거(깐것)",반찬
베이컨날치알김치볶음밥,멥쌀(백미),밥
콩가루배추된장국,"마늘/껍질제거(깐것),꼭지제거",국
참나물겉절이,당근/껍질제거(깐것),김치
양파크리미치킨,양파/껍질제거(깐것),반찬
메론,멜론(머스크멜론)/친환경,후식
새송이버섯초무침,마늘/국산,반찬
모둠전,달걀,반찬
비빔밥/약고추장,기능성찹쌀(칼슘강화),밥
감자깻잎된장국,"마늘/껍질제거(깐것),꼭지제거",국
고구마치즈닭불구이,고구마/찜용,반찬
미숫가루스무디,시리얼(코코아(초코)시리얼),후식
쇠고기무국,"마늘/껍질제거(깐것),꼭지제거",국
오징어양배추볶음/소면,당근/껍질제거(깐것),반찬
김가루밥,기능성찹쌀(칼슘강화),밥
어묵국,"마늘/껍질제거(깐것),꼭지제거",국
청년다방떡볶이,당근/껍질제거(깐것),후식
버터갈릭감자튀김,파슬리/말린것(건조),후식
통밀밥,기능성기장(칼슘강화),밥
두부홍합탕,"마늘/껍질제거(깐것),꼭지제거",국
시금치무침,"마늘/껍질제거(깐것),꼭지제거",반찬
콩나물불고기,마늘,반찬
마시는요거트,발효유(호상요구르트)/블루베리맛,후식
찰흑미밥,기능성찹쌀(칼슘강화),밥
설렁탕/소면,"마늘/껍질제거(깐것),꼭지제거",국
꽁치시래기조림,"마늘/껍질제거(깐것),꼭지제거",반찬
영양부추무침,당근/껍질제거(깐것),반찬
석박지,김치(섞박지),김치
제육김치덮밥,기능성찹쌀(칼슘강화),밥
모짜찰핫도그/케첩,설탕(백설탕),후식
달걀부추국,"마늘/껍질제거(깐것),꼭지제거",국
애호박새송이볶음,당근/껍질제거(깐것),반찬
파인애플,"파인애플/껍질제거(깐것),절단된것",후식
멸치후리카케밥,멥쌀(백미),밥
우동국,"마늘/껍질제거(깐것),꼭지제거",국
가쓰오꼬들단무지무침,"가다랑어/말린것(건조),간것(가루,분말),다듬은것(손질)",반찬
콘치즈토스트,파슬리/말린것(건조),후식
황도젤리화채,"사과(부사,후지)",후식
참치김치치즈밥버거,기능성찹쌀(칼슘강화),밥
가쓰오된장국,"마늘/껍질제거(깐것),꼭지제거",국
콘샐러드,당근/껍질제거(깐것),후식
오징어먹물피자/갈릭딥핑소스,피자(콤비네이션피자),후식
레몬에이드,과채주스(레몬과즙),후식
보리밥,기능성찹쌀(칼슘강화),밥
오리육개장,"마늘/껍질제거(깐것),꼭지제거",국
볼어묵메추리알조림,"마늘/껍질제거(깐것),꼭지제거",반찬
팽이버섯맛살전,당근/껍질제거(깐것),반찬
총각김치,김치(총각김치),김치
나가사키짬뽕국,당근/껍질제거(깐것),국
부추사과무침,"사과(부사,후지)",반찬
뼈없는김치닭갈비,당근/껍질제거(깐것),반찬
단팥호빵,호빵(팥호빵),후식
율무밥,기능성찹쌀(칼슘강화),밥
우거지해장국,"마늘/껍질제거(깐것),꼭지제거",국
훈제오리/무쌈,오리고기(살코기)/냉장,반찬
고구마떡맛탕,땅콩/볶은것,반찬
강황쌀밥,"기능성멥쌀(강황,울금)",밥
어묵김치찌개,"마늘/껍질제거(깐것),꼭지제거",국
쫄면야채무침,당근/껍질제거(깐것),반찬
비엔나브로컬리볶음,당근/껍질제거(깐것),반찬
튀김만두,콩기름(대두유),반찬
데리야끼치킨덮밥,기능성찹쌀(칼슘강화),밥
유부국,"마늘/껍질제거(깐것),꼭지제거",국
당면콩나물무침,당근/껍질제거(깐것),반찬
칠리소세지롤,양파/껍질제거(깐것),후식
볼로네제스파게티,올리브(그린올리브)/절인것,밥
피클,피클(오이피클)/슬라이스,반찬
크루통시저샐러드,당근/껍질제거(깐것),후식
오렌지쥬스,주스(오렌지주스),후식
쿠앤크뚱카롱,마카롱(바닐라마카롱),후식
스위트에그토스트,파슬리/말린것(건조),후식
무청베이컨볶음밥,기능성찹쌀(칼슘강화),밥
꼬막살무침,"마늘/껍질제거(깐것),꼭지제거",반찬
치즈등심롤까스/소스,"마늘/껍질제거(깐것),꼭지제거",반찬
귤,감귤(밀감)/친환경,후식
맑은콩나물국,마늘/껍질제거(깐것),국
상추/쌈장,"마늘/껍질제거(깐것),꼭지제거",반찬
오삼불고기,"사과(부사,후지)",반찬
감자채햄볶음,"마늘/껍질제거(깐것),꼭지제거",반찬
자장밥,기능성찹쌀(칼슘강화),밥
크림잠뽕면,당근/세척한것,밥
단무지무침,부추,반찬
수제멘보샤/칠리소스,부추/친환경,반찬
사과쥬스,주스(사과주스)/가당,후식
닭개장,마늘/껍질제거(깐것),국
비름나물,"마늘/껍질제거(깐것),꼭지제거",반찬
궁중떡볶음,당근/껍질제거(깐것),반찬
쑥된장국,쑥,국
느타리나물,당근,반찬
삼치포구이,삼치살/구이용,반찬
더덕생채,더덕/누른것,반찬
참나물겉절이,참나물,김치
새우살미역국,마늘/국산,국
돈육보쌈,마늘/국산,반찬
무말랭이김치,김치(무말랭이김치),김치
토핑유부초밥,멥쌀(백미)/친환경,밥
하노이쌀국수,마늘/국산,국
닭겨자채,당근,반찬
두부달걀국,마늘/국산,국
돈갈비매운찜,마늘/국산,반찬
수원왕갈비치킨,콩기름(대두유),반찬
